# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 50
23 4.5 1.24958 16.7837
24 4.7 1.20481 19.7131
25 4.9 1.10578 22.6353
26 5.1 1.13795 25.8929
27 5.3 1.08925 29.2605
28 5.5 1.00676 32.6124
29 5.7 0.977679 36.1085
30 5.9 0.933019 39.6831
31 6.1 0.919904 43.4504
32 6.3 0.924522 47.4889
33 6.5 0.916093 51.7488
34 6.7 0.924056 56.3141
35 6.9 0.944282 61.262
36 7.1 0.950245 66.5339
37 7.3 0.987493 72.3255
38 7.5 1.00863 78.5696
39 7.7 1.01511 85.1934
40 7.9 1.03025 92.2698
41 8.1 1.04446 99.8116
42 8.3 1.05668 107.823
43 8.5 1.02495 115.973
44 8.7 1.02362 124.5
45 8.9 1.01334 133.333
46 9.1 1.01424 142.577
47 9.3 1.01518 152.24
48 9.5 0.977632 161.95
49 9.7 0.980609 172.104
50 9.9 1.00161 182.908
1600 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 3.67778 0.324054
6 1.1 2.55221 0.659529
7 1.3 2.72367 1.15917
8 1.5 0.777777 1.34904
9 1.7 1.12038 1.70021
10 1.9 0.733022 1.98715
11 2.1 0.409056 2.18273
12 2.3 0.657209 2.5596
13 2.5 0.598461 2.96502
14 2.7 0.641403 3.47181
15 2.9 0.330478 3.77302
16 3.1 0.274148 4.05853
17 3.3 0.597579 4.76374
18 3.5 0.676434 5.66167
19 3.7 0.878598 6.96502
20 3.9 1.165 8.88508
21 4.1 1.25478 11.1706
22 4.3 1.27403 13.7231
23 4.5 1.23294 16.4283
24 4.7 1.18036 19.2534
25 4.9 1.12659 22.1842
26 5.1 1.14534 25.4118
27 5.3 1.12198 28.8266
28 5.5 1.00834 32.1313
29 5.7 0.969648 35.5446
30 5.9 0.945531 39.1106
31 6.1 0.91642 42.8051
32 6.3 0.911616 46.7252
33 6.5 0.951815 51.0821
34 6.7 0.907877 55.4975
35 6.9 0.939594 60.344
36 7.1 0.950925 65.5375
37 7.3 0.996215 71.2891
38 7.5 0.991817 77.3333
39 7.7 1.00075 83.7616
40 7.9 1.03243 90.7423
41 8.1 1.02465 98.0257
42 8.3 1.05008 105.863
43 8.5 1.03754 113.984
44 8.7 1.04558 122.558
45 8.9 1.01525 131.271
46 9.1 1.01329 140.361
47 9.3 1.00659 149.793
48 9.5 0.989617 159.469
49 9.7 0.996706 169.629
50 9.9 0.98306 180.067
1700 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 3.59095 0.312634
6 1.1 2.67091 0.659529
7 1.3 2.71713 1.15203
8 1.5 0.804909 1.34618
9 1.7 1.15693 1.7045
10 1.9 0.823058 2.02284
11 2.1 0.374704 2.19986
12 2.3 0.687808 2.58958
13 2.5 0.577951 2.97645
14 2.7 0.671079 3.50036
15 2.9 0.324952 3.793
16 3.1 0.267742 4.06852
17 3.3 0.620699 4.79229
18 3.5 0.612756 5.596
19 3.7 0.827834 6.80942
20 3.9 1.13259 8.65382
21 4.1 1.26752 10.935
22 4.3 1.25334 13.4161
23 4.5 1.25966 16.147
24 4.7 1.17225 18.9193
25 4.9 1.15461 21.8872
26 5.1 1.15094 25.0921
27 5.3 1.11035 28.4311
28 5.5 1.02094 31.7373
29 5.7 0.987905 35.1734
30 5.9 0.941607 38.6824
31 6.1 0.932127 42.3954
32 6.3 0.92395 46.3212
33 6.5 0.926993 50.5139
